Charge Point ID,Serial,Site,Make,Lat,Lon
60036,EM3989B-3,Trafford Centre West,Elektromotive,53.46537,-2.35302
60037,EM3695A-1,Great Northern Car Park,Elektromotive,53.47667,-2.24902
60038,EM3695B-3,Great Northern Car Park,Elektromotive,53.47667,-2.24902
60039,EM3689B-3,Topp Way Multi Storey Car Park,Elektromotive,53.58253,-2.43112
60040,EM3689A-1,Topp Way Multi Storey Car Park,Elektromotive,53.58253,-2.43112
60041,EM3847A-1,Topp Way Multi Storey Car Park,Elektromotive,53.58253,-2.43112
60042,EM3847B-3,Topp Way Multi Storey Car Park,Elektromotive,53.58253,-2.43112
60043,EM3714A-1,Topp Way Multi Storey Car Park,Elektromotive,53.58253,-2.43112
60044,EM3714B-3,Topp Way Multi Storey Car Park,Elektromotive,53.58253,-2.43112
60045,EM3693A-1,The Grand Car Park,Elektromotive,53.48005,-2.23435
60046,EM3693B-3,The Grand Car Park,Elektromotive,53.48005,-2.23435
60047,EM3711A-1,Hobson Street Car Park,Elektromotive,53.5388,-2.11267
60048,EM3711B-3,Hobson Street Car Park,Elektromotive,53.5388,-2.11267
60049,EM3716A-1,Deane Road Multi Storey Car Park,Elektromotive,53.57339,-2.44161
60050,EM3716B-3,Deane Road Multi Storey Car Park,Elektromotive,53.57339,-2.44161
60051,EM3704A-1,Deane Road Multi Storey Car Park,Elektromotive,53.57339,-2.44161
60052,EM3704B-3,Deane Road Multi Storey Car Park,Elektromotive,53.57339,-2.44161
60053,EM3722A-1,Deane Road Multi Storey Car Park,Elektromotive,53.57339,-2.44161
60054,EM3722B-3,Deane Road Multi Storey Car Park,Elektromotive,53.57339,-2.44161
60055,3727A,Leigh Bus Station (TfGM access only),Elektromotive,53.49292,-2.48058
60056,3727B,Leigh Bus Station (TfGM access only),Elektromotive,53.49302,-2.48058
60057,3870A,Waterloo Street Car Park,Elektromotive,53.5405972,-2.1077462
60058,3870B,Waterloo Street Car Park,Elektromotive,53.5405972,-2.1077562
60060,3665A,TfGM HQ (TfGM access only),Elektromotive,53.47873,-2.2316
60061,3665B,TfGM HQ (TfGM access only),Elektromotive,53.47883,-2.2316
60062,EM3692A-1,George Street,Elektromotive,53.54049,-2.11607
60063,EM3692B-3,George Street,Elektromotive,53.54049,-2.11607
60068,EM3685A-1,Flixton Road Railway Station Car Park,Elektromotive,53.44426,-2.38441
60069,EM3685B-3,Flixton Road Railway Station Car Park,Elektromotive,53.44426,-2.38441
60070,3684A,Ashton Moss Tram Station,Elektromotive,53.4861,-2.11883
60071,3684B,Ashton Moss Tram Station,Elektromotive,53.4861,-2.11883
60072,EM3866A-1,Water Street,Elektromotive,53.5486,-2.62833
60073,EM3866B-3,Water Street,Elektromotive,53.5486,-2.62833
60074,4149A,Ormand Quad,Elektromotive,53.46979,-2.23968
60075,4149B,Ormand Quad,Elektromotive,53.46969,-2.23968
60078,EM3861A-1,Edward Street,Elektromotive,53.406,-2.15705
60079,EM3861B-3,Edward Street,Elektromotive,53.406,-2.15705
60080,EM3833A-1,Vicars Gate ,Elektromotive,53.61555,-2.16029
60081,EM3833B-3,Vicars Gate ,Elektromotive,53.61555,-2.16029
60086,EM3710A-1,Trafford Centre Parking Garage East,Elektromotive,53.46534,-2.34518
60087,EM3710B-3,Trafford Centre Parking Garage East,Elektromotive,53.46534,-2.34518
60088,EM3881A-1,Lacy Street,Elektromotive,53.44418,-2.30753
60089,EM3881B-3,Lacy Street,Elektromotive,53.44418,-2.30753
60090,EM3889A-1,Stott Lane Car Park,Elektromotive,53.48592,-2.32011
60091,EM3889B-3,Stott Lane Car Park,Elektromotive,53.486,-2.32011
60092,EM3896A-1,Stott Lane Car Park,Elektromotive,53.4861,-2.32011
60093,EM3896B-3,Stott Lane Car Park,Elektromotive,53.4862,-2.32011
60094,EM3850A-1,Ardwick Sports Hall,Elektromotive,53.46442,-2.21255
60095,EM3850B-3,Ardwick Sports Hall,Elektromotive,53.46442,-2.21255
60096,EM3849A-1,Phoenix Way,Elektromotive,53.46426,-2.24817
60097,EM3849B-3,Phoenix Way,Elektromotive,53.46426,-2.24817
60104,EM4145A-1,Heaton Park,Elektromotive,53.53655,-2.2429
60105,EM4145B-3,Heaton Park,Elektromotive,53.53655,-2.2429
60106,EM3842A-1,Lord Street Pay and Display,Elektromotive,53.49793,-2.51838
60107,EM3842B-3,Lord Street Pay and Display,Elektromotive,53.49793,-2.51838
60114,3994A,Stockport Bus Station (TfGM access only),Elektromotive,53.40803,-2.16386
60115,3994B,Stockport Bus Station (TfGM access only),Elektromotive,53.40803,-2.16486
60116,EM3897B-3,Crescent House Lay By,Elektromotive,53.48329,-2.26962
60117,EM3897A-1,Crescent House Lay By,Elektromotive,53.48339,-2.26962
60118,EM3852A-1,Pendleton Town Centre,Elektromotive,53.48801,-2.28641
60119,EM3852B-3,Pendleton Town Centre,Elektromotive,53.48811,-2.28641
60120,EM3855A-1,Salford Civic Centre,Elektromotive,53.51028,-2.33827
60121,EM3855B-3,Salford Civic Centre,Elektromotive,53.51038,-2.33827
60126,EM3895A-1,Manchester Royal Infirmary,Elektromotive,53.45923,-2.22183
